STRUCTURE_NUMBER_008,BridgeCondition,SimpleOwner
000000000001355,F,PennDOT
000000000001358,F,PennDOT
000000000001366,F,PennDOT
000000000001367,F,PennDOT
000000000001369,F,PennDOT
000000000001374,F,PennDOT
000000000001376,F,PennDOT
000000000001377,F,PennDOT
000000000001378,F,PennDOT
000000000001380,F,PennDOT
000000000001384,F,PennDOT
000000000001387,F,PennDOT
000000000001402,G,PennDOT
000000000001407,G,PennDOT
000000000001417,F,PennDOT
000000000001421,G,PennDOT
000000000001426,F,PennDOT
000000000001429,P,PennDOT
000000000001432,G,PennDOT
000000000001433,F,PennDOT
000000000001436,G,PennDOT
000000000001439,F,PennDOT
000000000001440,F,PennDOT
000000000001447,G,PennDOT
000000000001448,P,PennDOT
000000000001454,G,PennDOT
000000000001459,P,PennDOT
000000000001464,F,PennDOT
000000000001465,F,PennDOT
000000000001468,F,PennDOT
000000000001469,F,PennDOT
000000000001472,F,PennDOT
000000000001475,F,PennDOT
000000000001477,F,PennDOT
000000000001484,P,PennDOT
000000000001497,F,PennDOT
000000000001503,F,PennDOT
000000000001507,P,PennDOT
000000000001508,F,PennDOT
000000000001511,F,PennDOT
000000000001512,F,PennDOT
000000000001515,P,PennDOT
000000000001516,F,PennDOT
000000000001521,P,PennDOT
000000000001522,F,PennDOT
000000000001525,F,PennDOT
000000000001532,F,PennDOT
000000000001535,P,PennDOT
000000000001547,F,PennDOT
000000000001549,F,PennDOT
000000000001552,F,PennDOT
000000000001555,F,PennDOT
000000000001558,G,PennDOT
000000000001559,P,PennDOT
000000000001565,F,PennDOT
000000000001574,F,PennDOT
000000000001575,F,PennDOT
000000000001581,F,PennDOT
000000000001582,F,PennDOT
000000000001583,F,PennDOT
000000000001585,G,PennDOT
000000000001590,F,PennDOT
000000000001596,P,PennDOT
000000000001608,F,PennDOT
000000000001609,F,PennDOT
000000000001612,F,PennDOT
000000000001614,F,PennDOT
000000000001615,F,PennDOT
000000000001618,F,PennDOT
000000000001622,F,PennDOT
000000000001624,F,PennDOT
000000000001627,G,PennDOT
000000000001628,F,PennDOT
000000000001629,F,PennDOT
000000000001631,F,PennDOT
000000000001635,F,PennDOT
000000000001637,F,PennDOT
000000000001639,P,PennDOT
000000000001640,F,PennDOT
000000000001642,F,PennDOT
000000000001646,F,PennDOT
000000000001647,F,PennDOT
000000000001648,F,PennDOT
000000000001651,P,PennDOT
000000000001652,F,PennDOT
000000000001655,F,PennDOT
000000000001656,G,PennDOT
000000000001666,F,PennDOT
000000000001667,F,PennDOT
000000000001668,F,PennDOT
000000000001670,F,PennDOT
000000000001672,F,PennDOT
000000000001674,F,PennDOT
000000000001687,F,PennDOT
000000000001692,P,PennDOT
000000000001696,F,PennDOT
000000000001700,F,PennDOT
000000000001702,F,PennDOT
000000000001708,F,PennDOT
000000000001716,F,PennDOT
000000000001719,F,PennDOT
000000000001723,G,PennDOT
000000000001724,P,PennDOT
000000000001726,F,PennDOT
000000000001728,F,PennDOT
000000000001729,F,PennDOT
000000000001730,F,PennDOT
000000000001731,F,PennDOT
000000000001732,G,PennDOT
000000000001734,F,PennDOT
000000000001735,F,PennDOT
000000000001739,G,PennDOT
000000000001742,F,PennDOT
000000000001743,F,PennDOT
000000000001745,P,PennDOT
000000000001746,G,PennDOT
000000000001747,P,PennDOT
000000000001748,F,PennDOT
000000000001749,G,PennDOT
000000000001752,F,PennDOT
000000000001755,P,PennDOT
000000000001762,F,PennDOT
000000000001763,G,PennDOT
000000000001764,P,PennDOT
000000000001765,P,PennDOT
000000000001774,F,PennDOT
000000000001775,P,PennDOT
000000000001781,F,PennDOT
000000000001782,F,PennDOT
000000000001784,F,PennDOT
000000000001791,G,PennDOT
000000000001792,F,PennDOT
000000000001795,F,PennDOT
000000000001796,G,PennDOT
000000000001798,F,PennDOT
